Algorithm,Nodes,Tasks,AvgEnergy,AvgLatency,LoadBalance,ExecTime
QITS,20,100,2.088919107142856,17.7174,7.04989058313467E-5,0.037
FCFS,20,100,4.229160446428576,24.15392857142859,3.222253229842116E-4,0.0
SJF,20,100,4.78877830357143,25.814642857142886,3.222253229842116E-4,0.006
RR,20,100,4.229160446428576,24.15392857142859,3.222253229842116E-4,0.0
QITS,20,200,2.956124642857142,37.30770357142859,4.013276339135477E-5,0.045
FCFS,20,200,5.1530880357142825,47.02624999999999,3.278604969167719E-4,0.0
SJF,20,200,5.608796071428559,48.895892857142826,3.278604969167719E-4,0.001
RR,20,200,5.1530880357142825,47.02624999999999,3.278604969167719E-4,0.0
QITS,20,300,3.8715819642857126,55.117516666666646,3.570845605271519E-5,0.037
FCFS,20,300,6.136978125000012,70.3006547619048,1.0,0.0
SJF,20,300,6.136978125000015,70.30065476190481,1.0,0.001
RR,20,300,6.136978125000012,70.3006547619048,1.0,0.0
QITS,20,500,5.370684285714287,91.76585857142881,2.7554175302475377E-5,0.065
FCFS,20,500,8.047835928571436,116.01232142857185,3.278604969167719E-4,0.0
SJF,20,500,8.377914678571429,117.85303571428611,3.278604969167719E-4,0.003
RR,20,500,8.047835928571436,116.01232142857185,3.278604969167719E-4,0.0
QITS,20,800,7.321335535714287,148.2716910714274,1.8988456205143698E-5,0.095
FCFS,20,800,10.941503649553576,184.97033482142757,3.278604969167719E-4,0.0
SJF,20,800,11.240175078125008,186.8038169642848,3.278604969167719E-4,0.002
RR,20,800,10.941503649553576,184.97033482142757,3.278604969167719E-4,0.001
QITS,20,1000,9.365379133928572,194.8113064285709,1.935399084552161E-5,0.102
FCFS,20,1000,12.8896675625,231.10651785714262,3.222253229842116E-4,0.0
SJF,20,1000,13.133962383928564,232.6708035714282,3.222253229842116E-4,0.004
RR,20,1000,12.8896675625,231.10651785714262,3.222253229842116E-4,0.0
QITS,20,1500,13.320816720238096,296.15721142857495,1.5838433195215427E-5,0.135
FCFS,20,1500,17.710208779761867,346.0952976190519,1.0,0.0
SJF,20,1500,17.710208779761867,346.095297619052,1.0,0.001
RR,20,1500,17.710208779761867,346.0952976190519,1.0,0.0
